logged_at_utc,event,signal_id,bar_time_utc,side,symbol,data_source,engine_version,run_id,commit_sha,signal_to_send_minutes,ref_price,entry_zone_low,entry_zone_high,expires_at_utc,r_usdt,callback_pct,stop_level,r_pct_of_price,entry_price,exit_price,bars_held,trail_at_event,exit_reason,open,high,low,close,volume,atr14,atr_pct_of_price,rsi,rsi_roc,ema_fast,ema_slow,ema_spread_pct,vol_avg,vol_ratio,prior_high,prior_rsi_peak,breakout_margin_pct,actual_fill_price,actual_qty,actual_exit_price,notes
2026-09-03T16:11:34.806224+00:00,SIGNAL,20260903T1200-L,2026-09-03T12:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,33777098903,efd4f517,11.6,2516.58,2486.088,2547.072,2026-09-03T20:00:00+00:00,60.984,2.4233,2455.596,2.4233,,,,,,2407.2,2517.17,2405.09,2516.58,129908.0326,40.655995,1.6155,67.279767,30.067519,2430.382618,2426.574219,0.156945,48896.755495,2.6568,2489.95,55.722442,1.0932,,,,
2026-09-03T20:01:40.047262+00:00,ENTRY,20260903T1200-L,2026-09-03T16:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,33799812630,191749d3,1.7,2516.58,,,,61.0701,2.4267,2455.5099,2.4267,2516.58,,,2468.4481,,2516.58,2529.84,2488.38,2518.18,66639.7675,40.713424,1.6168,67.496807,30.516452,2438.744273,2430.166603,0.352966,50243.73473,1.3263,2517.17,67.279767,0.5033,,,,
2026-09-04T16:04:59.989134+00:00,EXIT,20260903T1200-L,2026-09-04T12:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,33878095203,91fd0de6,5.0,,,,,61.0701,2.4267,,,2516.58,2484.8599,5,2484.8599,trailing_stop,2523.03,2532.21,2431.61,2451.98,177564.8812,42.757332,1.7438,48.879679,-18.617128,2461.45636,2442.399632,0.780246,60058.10721,2.9566,2546.66,67.496807,-0.5674,,,,
2026-09-11T16:03:44.937506+00:00,SIGNAL,20260911T1200-L,2026-09-11T12:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,34592777433,5fb9fb38,3.7,2559.42,2524.7227,2594.1173,2026-09-11T20:00:00+00:00,69.3945,2.7113,2490.0255,2.7113,,,,,,2458.27,2665.99,2433.77,2559.42,380386.0521,46.263015,1.8076,66.20583,20.434537,2477.063541,2471.98545,0.205426,65859.29657,5.7757,2523.3,58.209111,5.6549,,,,
2026-09-11T20:05:38.608685+00:00,ENTRY,20260911T1200-L,2026-09-11T16:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,34614522201,f21b0532,5.6,2559.42,,,,70.3156,2.7473,2489.1144,2.7473,2559.43,,,2512.8732,,2559.43,2583.86,2529.0,2539.49,93181.0589,46.877085,1.8459,61.400283,21.53552,2483.008918,2474.632687,0.338484,68607.715875,1.3582,2665.99,66.20583,-3.0807,,,,
2026-09-12T00:07:24.291434+00:00,EXIT,20260911T1200-L,2026-09-11T20:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,34650531054,bdc1a6a8,7.4,,,,,70.3156,2.7473,,,2559.43,2512.8732,1,2512.8732,trailing_stop,2539.49,2547.95,2506.3,2516.43,47254.9239,46.503722,1.848,56.307561,13.495648,2486.191878,2476.271797,0.400605,67560.300205,0.6994,2665.99,66.20583,-4.4276,,,,
2026-09-18T20:03:05.825580+00:00,SIGNAL,20260918T1600-L,2026-09-18T16:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,35359470860,60d402e9,3.1,2636.71,2603.3629,2670.0571,2026-09-19T00:00:00+00:00,66.6942,2.5294,2570.0158,2.5294,,,,,,2584.07,2646.0,2578.93,2636.71,119098.9021,44.462778,1.6863,75.735983,27.257226,2487.177649,2478.385009,0.354773,65777.25387,1.8106,2597.66,71.019587,1.8609,,,,
2026-09-19T00:04:40.386730+00:00,ENTRY,20260918T1600-L,2026-09-18T20:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,35395550221,08625cab,4.7,2636.71,,,,65.3567,2.4787,2571.3533,2.4787,2636.71,,,2574.7665,,2636.71,2640.21,2608.23,2612.14,58473.0934,43.571151,1.668,70.009913,14.542605,2499.078825,2483.630302,0.622014,62375.19933,0.9374,2646.0,75.735983,-0.2188,,,,
2026-09-20T04:05:43.750608+00:00,EXIT,20260918T1600-L,2026-09-20T00:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,35478529190,516154b6,5.7,,,,,65.3567,2.4787,,,2636.71,2601.8677,7,2601.8677,trailing_stop,2632.7,2632.97,2564.33,2588.03,45702.4072,40.463035,1.5635,58.605307,-12.854559,2562.354731,2518.32287,1.74846,50546.678975,0.9042,2668.0,75.735983,-1.313,,,,
2026-09-21T04:05:06.326486+00:00,SIGNAL,20260921T0000-L,2026-09-21T00:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,35536492174,76a610ec,5.1,2665.95,2635.6734,2696.2266,2026-09-21T08:00:00+00:00,60.5532,2.2714,2605.3968,2.2714,,,,,,2645.21,2707.7,2643.71,2665.95,98738.5453,40.368824,1.5142,69.444146,13.395881,2590.373762,2540.259903,1.972785,51435.82199,1.9196,2668.0,75.735983,1.488,,,,
